Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	average	Locus_start	Locus_end	Protein_start	Protein_end
229E	miR-21-3p	2920	2926	2920	2926	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	3952	3959	3952	3959	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	4171	4177	4171	4177	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5031	5037	5031	5037	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5122	5129	5122	5129	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5179	5186	5179	5186	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5836	5842	5836	5842	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	6191	6196	6191	6196	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	6616	6622	6616	6622	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	8119	8125	8119	8125	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	8645	8650	8645	8650	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9409	9415	9409	9415	7mer-m8	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9554	9559	9554	9559	6mer	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9718	9725	9718	9725	8mer-1a	x	0	100	4.7943257799849635	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	10316	10322	10316	10322	7mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	11375	11380	11375	11380	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	13002	13008	13002	13008	7mer-m8	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-195-5p	13675	13680	13675	13680	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-195-5p	15277	15282	15277	15282	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-195-5p	16213	16218	16213	16218	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-195-5p	18018	18025	18018	18025	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-195-5p	23228	23233	23228	23233	6mer	x	0	97	2.573725837560798	S	S	surface glycoprotein	surface glycoprotein
229E	miR-195-5p	23386	23392	23386	23392	7mer-m8	x	0	97	2.573725837560798	S	S	surface glycoprotein	surface glycoprotein
229E	miR-195-5p	2368	2374	2368	2374	7mer-m8	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	24295	24300	24295	24300	6mer	x	0	97	2.573725837560798	4a	4a	4a protein	4a protein
229E	miR-195-5p	26583	26589	26583	26589	7mer-1a	x	0	97	2.573725837560798	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-195-5p	27018	27023	27018	27023	6mer	x	0	97	2.573725837560798				
229E	miR-195-5p	3558	3564	3558	3564	7mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	4198	4205	4198	4205	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	4819	4826	4819	4826	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	5081	5086	5081	5086	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	6262	6267	6262	6267	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	6543	6549	6543	6549	7mer-m8	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	8102	8107	8102	8107	6mer	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	8938	8944	8938	8944	7mer-m8	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	9022	9029	9022	9029	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	9811	9818	9811	9818	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-195-5p	9937	9944	9937	9944	8mer-1a	x	0	97	2.573725837560798	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	10348	10354	10348	10354	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	11692	11698	11692	11698	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	1348	1353	1348	1353	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	13923	13929	13923	13929	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	13962	13968	13962	13968	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	15191	15198	15191	15198	8mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	16600	16606	16600	16606	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	17521	17527	17521	17527	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	18961	18966	18961	18966	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	19862	19868	19862	19868	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	19992	19997	19992	19997	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	21889	21895	21889	21895	7mer-1a	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	22024	22029	22024	22029	6mer	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	22669	22674	22669	22674	6mer	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	24206	24212	24206	24212	7mer-m8	x	0	97	2.6684111463842903	4a	4a	4a protein	4a protein
229E	miR-194-5p	26093	26098	26093	26098	6mer	x	0	97	2.6684111463842903	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-194-5p	27121	27126	27121	27126	6mer	x	0	97	2.6684111463842903				
229E	miR-194-5p	3471	3477	3471	3477	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	4041	4048	4041	4048	8mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	5301	5307	5301	5307	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	6287	6293	6287	6293	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	8862	8867	8862	8867	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	10348	10354	10348	10354	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	11692	11698	11692	11698	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	1348	1353	1348	1353	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	13923	13929	13923	13929	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	13962	13968	13962	13968	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	15191	15198	15191	15198	8mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	16600	16606	16600	16606	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	17521	17527	17521	17527	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	18961	18966	18961	18966	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	19862	19868	19862	19868	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	19992	19997	19992	19997	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-194-5p	21889	21895	21889	21895	7mer-1a	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	22024	22029	22024	22029	6mer	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	22669	22674	22669	22674	6mer	x	0	97	2.6684111463842903	S	S	surface glycoprotein	surface glycoprotein
229E	miR-194-5p	24206	24212	24206	24212	7mer-m8	x	0	97	2.6684111463842903	4a	4a	4a protein	4a protein
229E	miR-194-5p	26093	26098	26093	26098	6mer	x	0	97	2.6684111463842903	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-194-5p	27121	27126	27121	27126	6mer	x	0	97	2.6684111463842903				
229E	miR-194-5p	3471	3477	3471	3477	7mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	4041	4048	4041	4048	8mer-1a	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	5301	5307	5301	5307	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	6287	6293	6287	6293	7mer-m8	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-194-5p	8862	8867	8862	8867	6mer	x	0	97	2.6684111463842903	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	10316	10322	10316	10322	7mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	11375	11380	11375	11380	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	13002	13008	13002	13008	7mer-m8	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-16-5p	13675	13680	13675	13680	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-16-5p	15277	15282	15277	15282	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-16-5p	16213	16218	16213	16218	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-16-5p	18018	18025	18018	18025	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-16-5p	23228	23233	23228	23233	6mer	x	0	96	4.190134721268195	S	S	surface glycoprotein	surface glycoprotein
229E	miR-16-5p	23386	23392	23386	23392	7mer-m8	x	0	96	4.190134721268195	S	S	surface glycoprotein	surface glycoprotein
229E	miR-16-5p	2368	2374	2368	2374	7mer-m8	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	24295	24300	24295	24300	6mer	x	0	96	4.190134721268195	4a	4a	4a protein	4a protein
229E	miR-16-5p	26583	26589	26583	26589	7mer-1a	x	0	96	4.190134721268195	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-16-5p	27018	27023	27018	27023	6mer	x	0	96	4.190134721268195				
229E	miR-16-5p	3558	3564	3558	3564	7mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	4198	4205	4198	4205	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	4819	4826	4819	4826	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	5081	5086	5081	5086	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	6262	6267	6262	6267	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	6543	6549	6543	6549	7mer-m8	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	8102	8107	8102	8107	6mer	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	8938	8944	8938	8944	7mer-m8	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	9022	9029	9022	9029	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	9811	9818	9811	9818	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-16-5p	9937	9944	9937	9944	8mer-1a	x	0	96	4.190134721268195	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	10135	10140	10135	10140	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	102	109	102	109	8mer-1a	x	0	92	4.638347379242531				
229E	miR-338-3p	10560	10565	10560	10565	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	11085	11090	11085	11090	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	1171	1176	1171	1176	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	13509	13514	13509	13514	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	13867	13874	13867	13874	8mer-1a	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	14789	14796	14789	14796	8mer-1a	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	14997	15002	14997	15002	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	15279	15284	15279	15284	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	17589	17594	17589	17594	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	19875	19880	19875	19880	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	20608	20613	20608	20613	6mer	x	0	92	4.638347379242531	S	S	surface glycoprotein	surface glycoprotein
229E	miR-338-3p	21535	21540	21535	21540	6mer	x	0	92	4.638347379242531	S	S	surface glycoprotein	surface glycoprotein
229E	miR-338-3p	24427	24432	24427	24432	6mer	x	0	92	4.638347379242531	4a	4a	4a protein	4a protein
229E	miR-338-3p	27165	27171	27165	27171	7mer-1a	x	0	92	4.638347379242531				
229E	miR-338-3p	3452	3457	3452	3457	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	7741	7746	7741	7746	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	7749	7755	7749	7755	7mer-m8	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	8115	8121	8115	8121	7mer-m8	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	10135	10140	10135	10140	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	102	109	102	109	8mer-1a	x	0	92	4.638347379242531				
229E	miR-338-3p	10560	10565	10560	10565	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	11085	11090	11085	11090	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	1171	1176	1171	1176	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	13509	13514	13509	13514	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	13867	13874	13867	13874	8mer-1a	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	14789	14796	14789	14796	8mer-1a	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	14997	15002	14997	15002	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	15279	15284	15279	15284	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	17589	17594	17589	17594	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	19875	19880	19875	19880	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-338-3p	20608	20613	20608	20613	6mer	x	0	92	4.638347379242531	S	S	surface glycoprotein	surface glycoprotein
229E	miR-338-3p	21535	21540	21535	21540	6mer	x	0	92	4.638347379242531	S	S	surface glycoprotein	surface glycoprotein
229E	miR-338-3p	24427	24432	24427	24432	6mer	x	0	92	4.638347379242531	4a	4a	4a protein	4a protein
229E	miR-338-3p	27165	27171	27165	27171	7mer-1a	x	0	92	4.638347379242531				
229E	miR-338-3p	3452	3457	3452	3457	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	7741	7746	7741	7746	6mer	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	7749	7755	7749	7755	7mer-m8	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-338-3p	8115	8121	8115	8121	7mer-m8	x	0	92	4.638347379242531	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-132-3p	10447	10452	10447	10452	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-132-3p	12431	12436	12431	12436	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-132-3p	13657	13662	13657	13662	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	13921	13928	13921	13928	8mer-1a	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	16354	16360	16354	16360	7mer-1a	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	16630	16635	16630	16635	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	17698	17703	17698	17703	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	19494	19500	19494	19500	7mer-m8	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	19560	19566	19560	19566	7mer-m8	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	1967	1972	1967	1972	6mer	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-132-3p	20371	20377	20371	20377	7mer-1a	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	20436	20442	20436	20442	7mer-m8	x	0	91	2.232646477851873	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-132-3p	21260	21265	21260	21265	6mer	x	0	91	2.232646477851873	S	S	surface glycoprotein	surface glycoprotein
229E	miR-132-3p	21525	21531	21525	21531	7mer-1a	x	0	91	2.232646477851873	S	S	surface glycoprotein	surface glycoprotein
229E	miR-132-3p	23720	23725	23720	23725	6mer	x	0	91	2.232646477851873	S	S	surface glycoprotein	surface glycoprotein
229E	miR-132-3p	23819	23824	23819	23824	6mer	x	0	91	2.232646477851873	S	S	surface glycoprotein	surface glycoprotein
