Virus	miRNA	MSA_start	MSA_end	UTR_start	UTR_end	Site_type	miRNA in this species	ORF_overlap	miRDB score	Locus_start	Locus_end	Protein_start	Protein_end
229E	miR-21-3p	5031	5037	5031	5037	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5122	5129	5122	5129	8mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5179	5186	5179	5186	8mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	5836	5842	5836	5842	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	6191	6196	6191	6196	6mer	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	6616	6622	6616	6622	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	8119	8125	8119	8125	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	8645	8650	8645	8650	6mer	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9409	9415	9409	9415	7mer-m8	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9554	9559	9554	9559	6mer	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-21-3p	9718	9725	9718	9725	8mer-1a	x	0	100	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10133	10138	10133	10138	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10224	10230	10224	10230	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10466	10472	10466	10472	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10558	10563	10558	10563	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	12145	12151	12145	12151	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	1469	1474	1469	1474	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	14914	14920	14914	14920	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	15764	15770	15764	15770	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	1773	1779	1773	1779	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	18792	18799	18792	18799	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	20577	20583	20577	20583	7mer-m8	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-548p	20687	20692	20687	20692	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-548p	2069	2074	2069	2074	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	24258	24264	24258	24264	7mer-m8	x	0	99	4a	4a	4a protein	4a protein
229E	miR-548p	24392	24398	24392	24398	7mer-m8	x	0	99	4a	4a	4a protein	4a protein
229E	miR-548p	24476	24482	24476	24482	7mer-1a	x	0	99	4a	4b	4a protein	4b protein
229E	miR-548p	2539	2544	2539	2544	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	25766	25771	25766	25771	6mer	x	0	99	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-548p	2583	2590	2583	2590	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	26559	26564	26559	26564	6mer	x	0	99	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-548p	26897	26903	26897	26903	7mer-m8	x	0	99				
229E	miR-548p	27111	27117	27111	27117	7mer-1a	x	0	99				
229E	miR-548p	3048	3053	3048	3053	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	4506	4512	4506	4512	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	6318	6324	6318	6324	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	6540	6546	6540	6546	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	79	86	79	86	8mer-1a	x	0	99				
229E	miR-548p	8581	8588	8581	8588	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8670	8676	8670	8676	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8744	8750	8744	8750	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8809	8815	8809	8815	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8872	8877	8872	8877	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10133	10138	10133	10138	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10224	10230	10224	10230	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10466	10472	10466	10472	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	10558	10563	10558	10563	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	12145	12151	12145	12151	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	1469	1474	1469	1474	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	14914	14920	14914	14920	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	15764	15770	15764	15770	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	1773	1779	1773	1779	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	18792	18799	18792	18799	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-548p	20577	20583	20577	20583	7mer-m8	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-548p	20687	20692	20687	20692	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-548p	2069	2074	2069	2074	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	24258	24264	24258	24264	7mer-m8	x	0	99	4a	4a	4a protein	4a protein
229E	miR-548p	24392	24398	24392	24398	7mer-m8	x	0	99	4a	4a	4a protein	4a protein
229E	miR-548p	24476	24482	24476	24482	7mer-1a	x	0	99	4a	4b	4a protein	4b protein
229E	miR-548p	2539	2544	2539	2544	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	25766	25771	25766	25771	6mer	x	0	99	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-548p	2583	2590	2583	2590	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	26559	26564	26559	26564	6mer	x	0	99	N	N	nucleocapsid protein	nucleocapsid protein
229E	miR-548p	26897	26903	26897	26903	7mer-m8	x	0	99				
229E	miR-548p	27111	27117	27111	27117	7mer-1a	x	0	99				
229E	miR-548p	3048	3053	3048	3053	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	4506	4512	4506	4512	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	6318	6324	6318	6324	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	6540	6546	6540	6546	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	79	86	79	86	8mer-1a	x	0	99				
229E	miR-548p	8581	8588	8581	8588	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8670	8676	8670	8676	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8744	8750	8744	8750	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8809	8815	8809	8815	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-548p	8872	8877	8872	8877	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10169	10174	10169	10174	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10256	10261	10256	10261	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10276	10281	10276	10281	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10294	10299	10294	10299	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10415	10421	10415	10421	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10439	10444	10439	10444	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10501	10506	10501	10506	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10715	10721	10715	10721	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10737	10743	10737	10743	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11195	11200	11195	11200	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11213	11218	11213	11218	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11975	11981	11975	11981	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	12020	12026	12020	12026	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1207	1213	1207	1213	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	12109	12115	12109	12115	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1271	1276	1271	1276	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	13287	13292	13287	13292	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	13323	13328	13323	13328	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	13660	13666	13660	13666	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	1489	1495	1489	1495	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1586	1592	1586	1592	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	17019	17024	17019	17024	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17084	17090	17084	17090	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17279	17285	17279	17285	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17659	17665	17659	17665	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17920	17926	17920	17926	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18191	18197	18191	18197	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18664	18669	18664	18669	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18748	18754	18748	18754	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19152	19158	19152	19158	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19515	19520	19515	19520	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19531	19536	19531	19536	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	1994	2000	1994	2000	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	20275	20280	20275	20280	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	20572	20578	20572	20578	7mer-m8	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	20797	20802	20797	20802	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	20965	20970	20965	20970	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	21145	21152	21145	21152	8mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	2152	2157	2152	2157	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	2155	2162	2155	2162	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	21704	21710	21704	21710	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	23591	23596	23591	23596	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	23621	23627	23621	23627	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	24101	24107	24101	24107	7mer-m8	x	0	99	4a	4a	4a protein	4a protein
229E	miR-495-3p	24247	24252	24247	24252	6mer	x	0	99	4a	4a	4a protein	4a protein
229E	miR-495-3p	24530	24536	24530	24536	7mer-m8	x	0	99	4b	4b	4b protein	4b protein
229E	miR-495-3p	24862	24867	24862	24867	6mer	x	0	99	E	E	envelope protein	envelope protein
229E	miR-495-3p	25220	25225	25220	25225	6mer	x	0	99	M	M	membrane protein	membrane protein
229E	miR-495-3p	26904	26909	26904	26909	6mer	x	0	99				
229E	miR-495-3p	3709	3714	3709	3714	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	3851	3856	3851	3856	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	4088	4093	4088	4093	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	422	427	422	427	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	4544	4549	4544	4549	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	4744	4749	4744	4749	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	5477	5482	5477	5482	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	5501	5506	5501	5506	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	5510	5515	5510	5515	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	5930	5936	5930	5936	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	6089	6095	6089	6095	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	6505	6510	6505	6510	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	6590	6595	6590	6595	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	697	703	697	703	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	8123	8130	8123	8130	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	8434	8441	8434	8441	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	8592	8597	8592	8597	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	8859	8866	8859	8866	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	9659	9664	9659	9664	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10169	10174	10169	10174	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10256	10261	10256	10261	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10276	10281	10276	10281	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10294	10299	10294	10299	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10415	10421	10415	10421	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10439	10444	10439	10444	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10501	10506	10501	10506	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10715	10721	10715	10721	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	10737	10743	10737	10743	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11195	11200	11195	11200	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11213	11218	11213	11218	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	11975	11981	11975	11981	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	12020	12026	12020	12026	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1207	1213	1207	1213	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	12109	12115	12109	12115	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1271	1276	1271	1276	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	13287	13292	13287	13292	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	13323	13328	13323	13328	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	13660	13666	13660	13666	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	1489	1495	1489	1495	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	1586	1592	1586	1592	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	17019	17024	17019	17024	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17084	17090	17084	17090	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17279	17285	17279	17285	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17659	17665	17659	17665	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	17920	17926	17920	17926	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18191	18197	18191	18197	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18664	18669	18664	18669	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	18748	18754	18748	18754	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19152	19158	19152	19158	7mer-m8	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19515	19520	19515	19520	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	19531	19536	19531	19536	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	1994	2000	1994	2000	7mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	20275	20280	20275	20280	6mer	x	0	99	1ab	1ab	replicase polyprotein 1ab	replicase polyprotein 1ab
229E	miR-495-3p	20572	20578	20572	20578	7mer-m8	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	20797	20802	20797	20802	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	20965	20970	20965	20970	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	21145	21152	21145	21152	8mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	2152	2157	2152	2157	6mer	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	2155	2162	2155	2162	8mer-1a	x	0	99	1ab	1ab	replicase polyprotein 1a	replicase polyprotein 1a
229E	miR-495-3p	21704	21710	21704	21710	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	23591	23596	23591	23596	6mer	x	0	99	S	S	surface glycoprotein	surface glycoprotein
229E	miR-495-3p	23621	23627	23621	23627	7mer-1a	x	0	99	S	S	surface glycoprotein	surface glycoprotein
