miRNA	miRDB score	site type
miR-490-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7109-3p	80	['6mer', '7mer-1a', '8mer-1a']
miR-545-5p	80	['6mer', '7mer-1a', '7mer-m8']
miR-6728-3p	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4531	80	['6mer', '7mer-m8', '8mer-1a']
miR-4711-5p	80	['6mer', '7mer-1a', '7mer-m8']
miR-507	80	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1244	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3928-5p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-374b-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6806-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3910	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-877-3p	79	['6mer', '7mer-1a', '7mer-m8']
miR-539-5p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-224-5p	79	['6mer', '7mer-1a', '7mer-m8']
miR-302b-5p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7112-3p	79	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5590-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-100-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6822-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3622b-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4481	78	['7mer-1a']
miR-1537-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3622a-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-452-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-216b-5p	78	['6mer', '7mer-m8', '8mer-1a']
miR-4716-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3682-5p	78	['6mer', '7mer-m8', '8mer-1a']
miR-1283	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3065-5p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1343-3p	78	['6mer', '7mer-m8', '8mer-1a']
miR-4766-3p	78	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-219a-1-3p	77	['6mer', '7mer-1a', '8mer-1a']
miR-302d-5p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-655-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7849-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-2115-3p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6776-3p	77	['6mer', '7mer-m8', '8mer-1a']
miR-578	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-125b-2-3p	77	['6mer']
miR-548f-5p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ax	77	['6mer', '7mer-1a', '8mer-1a']
miR-5696	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548ao-5p	77	['6mer', '7mer-1a', '8mer-1a']
miR-573	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6072	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3688-5p	77	['6mer', '7mer-1a', '7mer-m8']
miR-3149	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-5190	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-1236-5p	77	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-802	76	['6mer', '7mer-1a', '8mer-1a']
miR-4326	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7g-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4424	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-448	76	['6mer', '7mer-1a', '7mer-m8']
miR-548x-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6515-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6742-3p	76	['6mer', '7mer-1a', '8mer-1a']
miR-548g-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-548aj-5p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4768-5p	76	['6mer', '7mer-1a', '8mer-1a']
miR-4717-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
let-7a-2-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-219b-3p	76	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4323	75	['6mer', '7mer-m8', '8mer-1a']
miR-6753-3p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7161-5p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6875-3p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-7107-3p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-501-5p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-3119	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4268	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-519d-5p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-571	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-6881-3p	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
miR-4468	75	['6mer', '7mer-1a', '7mer-m8', '8mer-1a']
